Iteracion: 0, Factorial: 1.000000, Power: 0.000000, sin(x)=0.523599
Iteracion: 27, Factorial: 12696403353658276446882823840816011312245221598828319560272916152712167424.000000, Power: 27.000000, sin(x)=0.500000
Iteracion: 28, Factorial: 40526919504877220527556156789809444757511993541235911846782577699372834750464.000000, Power: 28.000000, sin(x)=0.500000
Iteracion: 29, Factorial: 138683118545689864933221185143853352853533809868133429504739525869642019130834944.000000, Power: 29.000000, sin(x)=0.500000
Iteracion: 30, Factorial: 507580213877224835833540161373088490724281389843871724559898414118829028410677788672.000000, Power: 30.000000, sin(x)=0.500000
Iteracion: 31, Factorial: 1982608315404440084965732774767545707658109829136018902789196017241837351744329178152960.000000, Power: 31.000000, sin(x)=0.500000
Iteracion: 32, Factorial: 8247650592082471516735380327295020523842257210146637473076098881993433291790288339528056832.000000, Power: 32.000000, sin(x)=0.500000
Iteracion: 33, Factorial: 36471110918188683221214362054827498508015278133658067038296405766134083781086959639263732301824.000000, Power: 33.000000, sin(x)=0.500000
Iteracion: 34, Factorial: 171122452428141297375735434272073448876652721480628511030304905066123383956194496253690059725733888.000000, Power: 34.000000, sin(x)=0.500000
Iteracion: 35, Factorial: 850478588567862176139364498862283450363106657876759119884137546969850291984346623845721803156845756416.000000, Power: 35.000000, sin(x)=0.500000
Iteracion: 36, Factorial: 4470115461512683367030518111879159855011125453675376127499372976904192242294440576507107183576895048384512.000000, Power: 36.000000, sin(x)=0.500000
Iteracion: 37, Factorial: 24809140811395391401649674453868616759922516881580717884144963618612492793329521656999844718186305916810297344.000000, Power: 37.000000, sin(x)=0.500000
Iteracion: 38, Factorial: 145183092028285837925033723190960213624220326225543510376814897182582303110787462992309948307745678711432381726720.000000, Power: 38.000000, sin(x)=0.500000
Iteracion: 39, Factorial: 894618213078297291394536105678124660091699861979864830895281485890971416487504167917951760559283842969422038852173824.000000, Power: 39.000000, sin(x)=0.500000
Iteracion: 40, Factorial: 5797126020747365547859207609316955153302418317114924299299934140244381749043408420663995193999459259329102516576025837568.000000, Power: 40.000000, sin(x)=0.500000
Iteracion: 41, Factorial: 39455239697206569095363763848575524105091557652834963035068520647090338762195044371133838774594273621857211161281310377377792.000000, Power: 41.000000, sin(x)=0.500000
Iteracion: 42, Factorial: 281710411438054936145340070063731769270618697594701234453923080571636972801512907171791271651453851961008097129997800044545179648.000000, Power: 42.000000, sin(x)=0.500000
Iteracion: 43, Factorial: 2107757298379526908723379823722428723253356281476796516744835439819327865545820130415624631892617112325588092315921658107822337949696.000000, Power: 43.000000, sin(x)=0.500000
Iteracion: 44, Factorial: 16507955160908452497218052643056785820348586593118454131228292379023767876373998621963681432374396360185860939835599722920061648806871040.000000, Power: 44.000000, sin(x)=0.500000
Iteracion: 45, Factorial: 135200152767840228116141248983464474000315190336164090023053168975093962659595589494945258181259227289565007146009064474002163016890673266688.000000, Power: 45.000000, sin(x)=0.500000
Iteracion: 46, Factorial: 1156772507081640872708168771053910362702557453046286765300873130615713476227390429979366250504125810956242157790289615727775585913909863306493952.000000, Power: 46.000000, sin(x)=0.500000
Iteracion: 47, Factorial: 10329978488239052206885505130495304991006115078121225426977331552932345209983325487893772190631276157126501537780698430576453773283127019334195478528.000000, Power: 47.000000, sin(x)=0.500000
Iteracion: 48, Factorial: 96192759682482062236598631563798937437476306361515295860273049067319419226943192827878886900710340579037421510433530649010990406523708314612471414390784.000000, Power: 48.000000, sin(x)=0.500000
Iteracion: 49, Factorial: 933262154439440960911604687726529403237621654151826305939361630078862160424520003803285166480957861005701317510617187267217623578139262988057343784065695744.000000, Power: 49.000000, sin(x)=0.500000
Iteracion: 50, Factorial: 9425947759838353638138390835342801376610975723095888339920014242478768251047951733961834230251772401385381873852523273511991274827736142409989069734354272387072.000000, Power: 50.000000, sin(x)=0.500000
Iteracion: 51, Factorial: 99029007164861753574104173353829959119840213587603550977595970143247198666981236326723820707135417324040064427202242800388622136039545500810497297411854931555516416.000000, Power: 51.000000, sin(x)=0.500000
Iteracion: 52, Factorial: 1081396758240290348210869921049787686085357708169730988621187482453493212072612258663790673020750118457699980463572452092522082693661819116546316351266107589254107365376.000000, Power: 52.000000, sin(x)=0.500000
Iteracion: 53, Factorial: 12265202031961373185133888353370611130684668524854136840277622617824654987491120488233295563394527465880023230174031122970080372499095001280782895493213123617184939419631616.000000, Power: 53.000000, sin(x)=0.500000
Iteracion: 54, Factorial: 144385958320249281895211638114231048758962740708165300332574711789391685278558717651905972808586720726491483073402144430319927168280381361555797909879849011686559753441596407808.000000, Power: 54.000000, sin(x)=0.500000
Iteracion: 55, Factorial: 1762952551090243665975210588885144142387414195100989311383803233846619844411373359108703401397152961517526948327940490533490958560703331680555091440947787242605540750086427113422848.000000, Power: 55.000000, sin(x)=0.500000
Iteracion: 56, Factorial: 22311927486598122561395742763464263293811085711458827504898079485289004131566259313948148502297697156551908058556057846875398914665071585162560040055953309730837353620093009923758096384.000000, Power: 56.000000, sin(x)=0.500000
Iteracion: 57, Factorial: 292509369349301414171317466983763626351066482490080838864228039834663473319338986788600397507339178163503285987117253188513945744543074764016065369127692817702167502857927244907779926786048.000000, Power: 57.000000, sin(x)=0.500000
Iteracion: 58, Factorial: 3969937160808719035516914105546083316129144899609623379494025075823655775671863699734165199370837152945139637435339450080229269140755163261563772810417232690049049348643093126163025872065396736.000000, Power: 58.000000, sin(x)=0.500000
Iteracion: 59, Factorial: 55745857612076033333946596938961053806019179795001037546326945837492339367137742780510072138432293369384101420636637780506186496519649138194305750351243690774695184219682241207240231351096375771136.000000, Power: 59.000000, sin(x)=0.500000
Iteracion: 60, Factorial: 809429852527344001286822374367783120479258932042013350108502525209350161213688816895938003163169155685249328518343891519892014312451987782930100389629933788074784183691025963616992896186529128659288064.000000, Power: 60.000000, sin(x)=0.500000
Iteracion: 61, Factorial: 12146304367025324845837253661169005205421689094860932220203889171869434996608192505473415582579316934206019475818161948117127665043471218350935019389220629267648749936761134253494071712465660221123700195328.000000, Power: 61.000000, sin(x)=0.500000
Iteracion: 62, Factorial: 188267717688892538291710440519845543681884351351211642746915315538460412792684266823199728040717355805605164453895552619595370444449591794431421678523215389148946427029232083284552835657699349012546428480782336.000000, Power: 62.000000, sin(x)=0.500000
Iteracion: 63, Factorial: 3012660018457658234883070182556687865382251753244489573847454084501848243553677518772315679426611138886230128806347146520349235313056404532147605965510857871534442256517614132876212580230487324740490782114710552576.000000, Power: 63.000000, sin(x)=0.500000
Iteracion: 64, Factorial: 49745042224772854994195754995984321775186454084690957642505438343827531881449744562988642485879033169319782753375155346294398792685964119093522997953845956522259835078533620164534957519928786364433332294535208318795776.000000, Power: 64.000000, sin(x)=0.500000
Iteracion: 65, Factorial: 847158069087881742086644741231290352654175677623894710131598531401105633523183910417040911862074814594470211813825089317169995871086726288297213173538216515421888170362477159233235808489102174854917491750291001173222621184.000000, Power: 65.000000, sin(x)=0.500000
Iteracion: 66, Factorial: 14872707060906851873704731576473721249631137913552831124729413280455008731194810377037305394458228551918101807666480402867268739119570205596165635674924655944907462366317512868500684321965374677855831432466063010819435055284224.000000, Power: 66.000000, sin(x)=0.500000
Iteracion: 67, Factorial: 269047270731804954550825956441624688126209292331472360831123530473738456950956033144903256480443203973995025359981506957185436887053817012519987827004592077914349663021669679255804079575824860493826359341926026510045249021358899200.000000, Power: 67.000000, sin(x)=0.500000
Iteracion: 68, Factorial: 5012888748274989842521694599426138924205701377011410020776544409633692908413948670535789229620852581045019037602127906005910111453095104988981903243400176751041546815484208470447706215886651037367753139733836138121410797885944517099520.000000, Power: 68.000000, sin(x)=0.500000
Iteracion: 69, Factorial: 96157231969410858830469292126874942877955258679849089375295760272644279457618873519719488472145244087241652473083013555172592905662465855458936793656810422352997966047648025240162819560668696943209934966889030842329469247533077202458378240.000000, Power: 69.000000, sin(x)=0.500000
Iteracion: 70, Factorial: 1898143759076170131732924360796650906512836499050717893199776754665555195120223263646057395461357888931562497744031320771475064914691811293389045278494029895008687905103443356067814671225440694355427555421132397923075396335136679918598763839488.000000, Power: 70.000000, sin(x)=0.500000
Iteracion: 71, Factorial: 38543707171800705947204693672221529226566388300967283997382476740262750333184049413297468095881673580587924049008224118772751693483947012773652769689219627681068289851559097527814258181392588553394063937109512548094053006650111698383170089613524992.000000, Power: 71.000000, sin(x)=0.500000
Iteracion: 72, Factorial: 804792605747198661881041572966632512817372625583268023150070499107442733992210570019849487962650212923815940096992543600977820842230529693068745046312586436662410037223706744021688360143974812283889170034073852576540251441345380217212538939478972039168.000000, Power: 72.000000, sin(x)=0.500000
Iteracion: 73, Factorial: 17272458904546375894227231696563570756893750298016939422305199691910297510897851363147875478646194154767959555299954101855174918176366740705641402324211458382732114324811042992498350362873492901499478693517912739275698462574409109450082439884189157285691392.000000, Power: 73.000000, sin(x)=0.500000
Iteracion: 74, Factorial: 380892263763056705811136141833522425137514385751868304010542956307075176251718228045906283126532953271985000927766812114035827564207030130478704704445729496636065706086834330069514775449771957075699222592227134926930682005840657790068696726539328538276446339072.000000, Power: 74.000000, sin(x)=0.500000
Iteracion: 75, Factorial: 8627209774233234615716859150561790427786140614334170094274951540226843754059425775954122173751335245626043711543725206901858679205702245898374800409085020767390642245098103515617270222380052488491066904201045183586163790136948583107296470485207866134879053228802048.000000, Power: 75.000000, sin(x)=0.500000
Iteracion: 76, Factorial: 200634390509568112227684921619216654823644595589072817869184371641212860323291197641531454768897765009286224853644504344215608270318233191406526939915690030740821554669301499292543605371860283255919204507474074749968507404197672918265876450687148755325528258148585963520.000000, Power: 76.000000, sin(x)=0.500000
Iteracion: 77, Factorial: 4789142901463391195071321120698705430443839346927706590243024791904930493455109325996023636166356544245272624587373036612587182761842120703065051309330672039075223682019852076560372117214987400110541168443250609744538354280562895021882635083915363955979735593929220590403584.000000, Power: 77.000000, sin(x)=0.500000
Iteracion: 78, Factorial: 117295687942641384449155319333017070600627486736257724979320274896395252315183980458112127652913963338426784278667178035194375485261942059339369179225802316072557680415130325303822644006892956516983079354529508587631721962401255003217486187553572103665408591362928406252528599040.000000, Power: 78.000000, sin(x)=0.500000
Iteracion: 79, Factorial: 2946702272495036855030493058134150005903194371469614756281251867284626313793885816612423355490049354197511664190179773013137711205787636983674505857336271196646572958085636347157839242707589340534849518763032684903478971018909161839512485946731585720150787004335343283104414986928128.000000, Power: 79.000000, sin(x)=0.500000
Iteracion: 80, Factorial: 75907050539472147668628274986623653506961986030378304935551238483857026927458194299245842328067878072271818834653170295126643712575421322331825702501254349961364039395732367350529215895380977863800291154949788540784861341760737695504749686545229996926294352238809894381769342145620082688.000000, Power: 80.000000, sin(x)=0.500000
Iteracion: 81, Factorial: 2004401576545301518726351182026183433581782857591085089310242636270435676807783032781126310680824543003120915597699225391446996595232399615214788559800013219834912330416415312301067554509180732195551698265952115390170560605716550003676688818348061469285517897851319304286736245506442407182336.000000, Power: 81.000000, sin(x)=0.500000
Iteracion: 82, Factorial: 54239106661315859522174013088754018516551044619435934124113229414138849205918278700032853555365122692317801231489567051646359302484271520087093790884959933978092978449488291634416437255820930558667106622207440706035055789288319353807655998221499453590580059804402523379306787382035898393908215808.000000, Power: 82.000000, sin(x)=0.500000
Iteracion: 83, Factorial: 1503616514864998253389821389274700585637815979308941781816774763303900093492592513350802037137620112957833960970153353743331939789456015608329974154548140697960468729971183028052804212551173864163263173324605839448792070928603191706431758835343140020344855462791649346006364379834365051418396430696448.000000, Power: 83.000000, sin(x)=0.500000
Iteracion: 84, Factorial: 42690680090047026720062648805820850387756975875746245047606552641771041861638240560617636629151816857409132566202994395836167476759353273143605880851692806242768458117639325189454779548336505175152773372238945176444516224321575248351285305864915204686974405930350609429121563777253758476415021841813340160.000000, Power: 84.000000, sin(x)=0.500000
Iteracion: 85, Factorial: inf, Power: 85.000000, sin(x)=0.500000
Iteracion: 86, Factorial: inf, Power: 86.000000, sin(x)=0.500000
Iteracion: 87, Factorial: inf, Power: 87.000000, sin(x)=0.500000
Iteracion: 88, Factorial: inf, Power: 88.000000, sin(x)=0.500000
Iteracion: 89, Factorial: inf, Power: 89.000000, sin(x)=0.500000
Iteracion: 90, Factorial: inf, Power: 90.000000, sin(x)=0.500000
Iteracion: 91, Factorial: inf, Power: 91.000000, sin(x)=0.500000
Iteracion: 92, Factorial: inf, Power: 92.000000, sin(x)=0.500000
Iteracion: 93, Factorial: inf, Power: 93.000000, sin(x)=0.500000
Iteracion: 94, Factorial: inf, Power: 94.000000, sin(x)=0.500000
Iteracion: 95, Factorial: inf, Power: 95.000000, sin(x)=0.500000
Iteracion: 96, Factorial: inf, Power: 96.000000, sin(x)=0.500000
Iteracion: 97, Factorial: inf, Power: 97.000000, sin(x)=0.500000
Iteracion: 98, Factorial: inf, Power: 98.000000, sin(x)=0.500000
Iteracion: 99, Factorial: inf, Power: 99.000000, sin(x)=0.500000
Iteracion: 100, Factorial: inf, Power: 100.000000, sin(x)=0.500000
